"Lat","Lon","Location"
-45.89793,"170.49932","109 MACANDREW ROAD"
-43.54701,172.68184,"12 PECKHAM LANE"
-41.21037,"174.87962","138 DOWSE DRIVE LOWER HUTT"
-37.70798,"176.18735","194 TOTARA STREET"
-40.73568,175.18597,"2 FOREST LAKES ROAD"
-36.7967,"174.72337","217 GLENFIELD ROAD"
-43.51637,"172.66838","27 GALBRAITH AVENUE"
-39.63088,"176.83943","501 WELLWOOD ST"
-41.2405,"173.32227","74 DODSON VALLEY ROAD"
-43.40517,171.97638,"ABNERS HEAD"
-37.83178,"175.29268","ACACIA CRESCENT"
-41.06552,"175.13018","AKATARAWA (AMATEUR)"
-35.00588,"173.66417","AKATERE"
-38.11488,"177.86100","AROWHANA(PBECR)"
-46.16745,"167.83158","BALD HILL"
-41.21238,"174.92142","BIRCH STREET"
-41.21238,"174.92142","BIRCH ST LOWER HUTT"
-42.20353,"173.78953","BLUE DUCK"
-46.61575,"168.33980","BLUFF HILL (AMATEUR)"
-41.74913,"171.46477","CAPE FOULWIND LIGHTHOUSE"
-45.1149,"170.97230","CAPE WANBROW"
-39.19096,174.01119,"CARRINGTON ROAD (AMATEUR)"
-43.63683,"172.62437","CASS PEAK"
-43.58017,"172.63585","CHRISTCHURCH"
-43.89905,"171.76138","CHRISTCHURCH DISTRICT AREA"
-39.5272,"175.73952","CLEAVERS HILL"
-39.64317,"177.00803","CLIFTON TRIG"
-41.15395,"174.80293","COLONIAL KNOB"
-35.07523,"173.40183","DAWSON ROAD"
-41.30985,"173.31543","FRINGED HILL"
-45.3446,"169.22540","FRUITLANDS"
-37.0996,"175.03140","GILLESPIE ROAD"
-41.04343,"175.59468","GLADSTONE ROAD"
-41.29823,"173.27957","GRAMPIANS"
-42.45135,"171.21528","GREYMOUTH"
-37.83248,"175.30293","HAMILTON"
-37.78223,"175.24790","HAMILTON (AMATEUR TV)"
-37.77712,"175.27727","HAMILTON CITY"
-41.32525,"174.73235","HAWKINS HILL"
-46.09365,"168.71137","HEDGEHOPE"
-43.68847,"172.74187","HERBERT PEAK"
-38.67897,"176.09132","HICKLING PARK"
-45.8819,"170.59537","HIGHCLIFF"
-35.53907,"173.91505","HIKURANGI"
-42.71892,"170.95723","HOKITIKA"
-35.8702,"174.13577","HOROKAKA"
-46.40752,"168.36080","INVERCARGILL"
-41.57423,"174.11053","JAMIES KNOB M/W"
-39.79563,"176.87318","KAHURANAKI"
-42.4202,"173.69620","KAIKOURA"
-38.67857,"178.03215","KAITI HILL"
-38.9757,"175.69687","KAKARAMEA"
-36.89383,"175.55852","KAKATARAHAE (DOC)"
-39.38837,"173.99912","KIRI ROAD"
-37.3559,"174.80853","KLONDYKE ROAD (NZART)"
-37.7309,"176.23720","KOPUKAIRUA"
-46.2391,"169.37287","KURIWAO"
-39.95752,"175.02502","LANDGUARD (AMATEUR)"
